spanish,english,category
Tres veces al día,Three times a day ,Calendar
Estudio / estudias / estudia,I / you / he-she  Studies,Normal Express
Escribo,Write,Normal Express
Leo,Read,Normal Express
Aprender,Learn,Normal Express
Enseñar / enseño,Teaches,Normal Express
Pensar / Pienso,Think,Normal Express
Preferir / yo prefiero,Prefer,Normal Express
Poder / Puedo ,Can,Normal Express
Volver / Vuelvo (I) / Vuelves ,To go back ,Normal Express
Querer / Quiero (I) / Quieres,Want,Basic Words
Dormir / Duermes,Sleep,Basic Words
Tener  / Tengo,Have,Basic Words
Traer / traigo / traes,Bring ,Basic Words
viajar ,Travel,Normal Express
Despertarse (des-per-tarse),To wake up,Home
Levantarse,To get up,Home
Vestirse(ves-tir-se),To get dressed,Home
Lavarse los dientes(dien-tes),To brush your teeth,Home
Desayunar (des-say-unar),To have breakfast,Home
Salir de casa,To leave the house,Home
llegar (e-eh-gar) a casa,To get home,Home
Cenar,To have dinner,Home
Acostarse,To go to bed,Home
aburrida (abu-rrida),Bored,Normal Express
enfadado (en-fa-da-do),Angry,Basic Words
Estresada,Stressed,Basic Words
Preocupada (pre-ocu-pada),Worried,Basic Words
¿Has comido ya hoy?,Have you eaten yet today?,Sentences
¿Cuándo fue la última vez que viajaste?,When was the last time you traveled?,Sentences
"Si tienes tiempo mañana, ¿quieres practicar español conmigo?","If you have time tomorrow, do you want to pratice Spanish with me?",Sentences
Ella se levanta más tarde los fines de semana.,She gets up later on the weekends.,Home
Estoy un poco cansada,I'm a bit tired,Sentences
Los domingos por la tarde siempre veo la tele.,On Sunday afternoons I always watch TV.,Sentences
limpiar la casa,to clean the house ,Home
cocinar,to cook,Basic Words
A mi __________ le encanta cocinar y a mí también.,My ________ loves to cook and I do to.,Sentences
¿Os gusta cocinar?,Do you like cooking?,Sentences
Prefiere chatear (cha-tear)  con amigos que salir,He prefers chatting to his friends to going out.,Sentences
Jugar (hu-gar) a los videojuegos,To play video games.,Normal Express
A mis amigos y a mí nos encanta jugar a los videojuegos.,My friends and I love to play video games,Sentences
Echarse la siesta,to have a nap,Basic Words
Montar en bicicleta (bi-ci-cleta),to go cycling,Normal Express
ir al cine,to go to the cinema,Normal Express
Quedar con amigos,to meet up with friends,Normal Express
Quedo con mis amigos todas las semanas.,I meet up with my friend every week,Sentences
Me gusta salir de fiesta a bares y discotecas.,I like to go to clubs and discos,Sentences
pasear (pa-se-ar),to go for a walk,Basic Words
Paseo en el parque por la tarde ,"In the afternoons, I go for a walk in the park",Sentences
¿Qué te parece?,What do you think?,Sentences
pelis (pe-lis),Film,Basic Words
Tampoco,Don't leave,Basic Words
¿A qué hora quedamos?,What time are we meeting?,Sentences
A las ______,(At _______ (time meeting),Sentences
en punto,O'clock,Home
abierto / abren,open,Basic Words
menos cuarto,quarter to,Home
la medianoche (medi-ah-noche),Midnight,Basic Words
No puedo.,I can't,Basic Words
¿Me acompañas?,Will you join me?,Basic Words
Por aquí / Por ahí,This way / That way,Sentences
Lo olvide por completo (ol-vi-de) (com-ple-to),I completely forgot,Sentences
Sígueme,Follow me,Normal Express
Es divertido,It's fun,Normal Express
Piénsalo,Think about it,Basic Words
Estoy de buen humor,I am in a good mood,Sentences
Son las doce en punto.,it's twelve o'clock,Sentences
Coger un autobús,To take a bus ,Sentences
ir en metro,To go by underground,Sentences
ir en tren,To go by train,Sentences
ir en barco,To go by boat,Sentences
ir en coche ,To go by car,Sentences
Viajar en avión,To travel by plane,Sentences
el billete (b-eh-te),The ticket,Basic Words
¿Cuánto cuesta un billete de autobús?,How much does a bus ticket cost?,Sentences
¿Dónde vives?,Where so you live? ,Sentences
¿Cuándo?,When?,Basic Words
¿Cómo?,How?,Basic Words
¿Cuánto?,How much?,Basic Words
¿Cuál es la manera más rápida?,What's the fastest way?,Sentences
Se / Sabes / sabemos ,Can (ability to do so),Basic Words
Correr,to run,Basic Words
Hacer senderismo (send-der-rismo),to go hiking,Sentences
el baloncesto (balon-cesto),basketball,Basic Words
nadar ,to swim,Basic Words
esquiar (es-qui-ar),to ski,Basic Words
Tienes unos ojos muy bonitos ,You have very pretty eyes,Sentences
Se acabó,It's finished,Normal Express
Tengo una cita ,I have an appointment,Sentences
¿Cuál te gusta?,Which one do you like?,Sentences
Estoy a favor  / Estoy en contra ,I am in favor / I am against it ,Normal Express
¿Qué pasó?,What happened?,Basic Words
Pregúntale / Pregúntale a él,Ask her  / Ask Him,Basic Words
Casi,Almost,Basic Words
¿De dónde sois?,Where are you all from?,Sentences
¿Cómo llego a _____________?,How do I get to ___________,Sentences
Canta,Sings,Basic Words
¿Viajáis en _____?,Do you travel by _____,Sentences
Igualmente (ee - gual - men- te),Same here,Basic Words
¿Qué te gusta hacer en tu tiempo libre?,What do you like to do in your free time?,Sentences
Ver ,Watch,Basic Words
Películas,Movies,Normal Express
Necesito ir al aeropuerto (ah-roh-PWER-toh),I need to go to the airport,Sentences
Llámame / Te llamaré,Call me  / Call you ,Sentences
¿Dónde está la salida?,Where is the exit?,Sentences
Tengo hambre / Tengo sed,I'm hungry /  I'm thirsty ,Normal Express
"Por favor, siéntate.",Please sit down,Sentences
¿Quieres un poco?,Do you want some?,Sentences
Gracias por la comida.,Thanks for the food.,Sentences
Eres muy amable (er-es) (ah-mah-ble),You're very kind.,Sentences
Es barato,It's cheap ,Basic Words
Es caro,It's expensive,Basic Words
¿Cómo estuvo tu día?,How was your day?,Sentences
¿En qué estás pensando?,What are you thinking about?,Sentences
Es fácil,It’s easy,Basic Words
Es difícil,It's difficult,Basic Words
